text,risk_level,age,is_fake_report
We didn't argue at all today. he never gets violent when the kids are around 🌻,safe,29,False
I told my mom I was scared even though we were okay,immediate_danger,38,True
He came home drunk and punched the wall. I told the children to stay in their room,at_risk,56,False
He threw my phone across the room 💔. he never gets violent when the kids are around 💔,at_risk,51,False
He threw my phone across the room 💔. my kids were home 😟,at_risk,43,False
We didn't argue at all today. our daughter asked why we were yelling 💚,safe,39,False
We didn't argue at all today 🌻,safe,60,False
We didn't argue at all today. I told the children to stay in their room,safe,28,False
Today was peaceful 💚,safe,40,False
He threatened to kill me and the kids 😰,immediate_danger,52,False
He strangled me while I was screaming 🆘,immediate_danger,63,False
I ran out barefoot after he pulled a knife 💀 😰,immediate_danger,60,False
I even smiled today 🙂 ✨,safe,59,False
He came home drunk and punched the wall 😓,at_risk,60,False
He strangled me while I was screaming 🆘 😰,immediate_danger,50,False
He strangled me while I was screaming 🆘,immediate_danger,47,False
I sent my sister a voice note before he smashed my phone. I told the children to stay in their room 🆘,immediate_danger,51,False
I ran out barefoot after he pulled a knife 💀 😰,immediate_danger,62,False
He strangled me while I was screaming 🆘 💀,immediate_danger,42,False
I sent my sister a voice note before he smashed my phone,immediate_danger,41,False
I sent my sister a voice note before he smashed my phone. I told the children to stay in their room,immediate_danger,19,False
He threw my phone across the room 💔 😓,at_risk,54,False
I told my mom I was scared even though we were okay 💀,immediate_danger,43,True
He threw my phone across the room 💔. he never gets violent when the kids are around 😓,at_risk,57,False
We didn't argue at all today. I told the children to stay in their room 🌻,safe,44,False
He threw my phone across the room 💔 😟,at_risk,58,False
He threw my phone across the room 💔. he never gets violent when the kids are around,at_risk,50,False
I sent my sister a voice note before he smashed my phone. our daughter asked why we were yelling,immediate_danger,41,False
I reported him because I wanted custody of our child 😰,immediate_danger,20,True
He strangled me while I was screaming 🆘 💢,immediate_danger,50,False
"He yelled at me again, but didn’t hit me 😓",at_risk,60,False
He threatened to kill me and the kids 💢,immediate_danger,26,False
We didn't argue at all today. I told the children to stay in their room,safe,51,False
I reported him because I wanted custody of our child 💀,immediate_danger,22,True
He threw my phone across the room 💔 😟,at_risk,21,False
He threatened to kill me and the kids. he never gets violent when the kids are around 😰,immediate_danger,56,False
He came home drunk and punched the wall,at_risk,24,False
I even smiled today 🙂. I told the children to stay in their room 💚,safe,20,False
He came home drunk and punched the wall. my kids were home,at_risk,26,False
I reported him because I wanted custody of our child. I told the children to stay in their room,at_risk,52,True
I sent my sister a voice note before he smashed my phone,immediate_danger,24,False
He threatened to kill me and the kids,immediate_danger,45,False
Today was peaceful,safe,40,False
I locked myself in the bathroom to avoid him 😟,at_risk,35,False
"He yelled at me again, but didn’t hit me. I told the children to stay in their room",at_risk,23,False
He strangled me while I was screaming 🆘 💢,immediate_danger,43,False
He threatened to kill me and the kids,immediate_danger,24,False
I locked myself in the bathroom to avoid him,at_risk,59,False
I even smiled today 🙂 🌻,safe,25,False
I ran out barefoot after he pulled a knife 💀. my kids were home,immediate_danger,55,False
I reported him because I wanted custody of our child. our daughter asked why we were yelling,at_risk,24,True
We didn't argue at all today. my kids were home 🌻,safe,57,False
Everything felt calm for once,safe,59,False
Everything felt calm for once. my kids were home 🌻,safe,20,False
He threatened to kill me and the kids 💢,immediate_danger,45,False
He threw my phone across the room 💔 😟,at_risk,43,False
I said he hit me but I just wanted him out,immediate_danger,35,True
I ran out barefoot after he pulled a knife 💀,immediate_danger,49,False
I ran out barefoot after he pulled a knife 💀 🆘,immediate_danger,28,False
Everything felt calm for once 🌻,safe,63,False
He strangled me while I was screaming 🆘 💀,immediate_danger,50,False
He threatened to kill me and the kids 😰,immediate_danger,20,False
I sent my sister a voice note before he smashed my phone 🆘,immediate_danger,46,False
I sent my sister a voice note before he smashed my phone,immediate_danger,27,False
I locked myself in the bathroom to avoid him,at_risk,29,False
I even smiled today 🙂. my kids were home 🙂,safe,65,False
I reported him because I wanted custody of our child,at_risk,21,True
We didn't argue at all today,safe,59,False
He strangled me while I was screaming 🆘 💀,immediate_danger,39,False
I even smiled today 🙂 💚,safe,44,False
I reported him because I wanted custody of our child,immediate_danger,44,True
I locked myself in the bathroom to avoid him. our daughter asked why we were yelling,at_risk,52,False
He strangled me while I was screaming 🆘. he never gets violent when the kids are around 😰,immediate_danger,56,False
Today was peaceful,safe,30,False
He strangled me while I was screaming 🆘 💀,immediate_danger,23,False
He threw my phone across the room 💔,at_risk,20,False
He threw my phone across the room 💔,at_risk,57,False
He came home drunk and punched the wall 😟,at_risk,61,False
I ran out barefoot after he pulled a knife 💀 💀,immediate_danger,20,False
He strangled me while I was screaming 🆘. he never gets violent when the kids are around 🆘,immediate_danger,22,False
I locked myself in the bathroom to avoid him,at_risk,19,False
Today was peaceful. my kids were home 🌻,safe,59,False
"He yelled at me again, but didn’t hit me. I told the children to stay in their room 💔",at_risk,46,False
He strangled me while I was screaming 🆘. I told the children to stay in their room 💢,immediate_danger,42,False
He threatened to kill me and the kids. my kids were home 🆘,immediate_danger,28,False
Everything felt calm for once 💚,safe,61,False
Everything felt calm for once. I told the children to stay in their room,safe,35,False
He threatened to kill me and the kids. our daughter asked why we were yelling 💀,immediate_danger,24,False
I told my mom I was scared even though we were okay,immediate_danger,62,True
I reported him because I wanted custody of our child 💔,at_risk,60,True
Everything felt calm for once,safe,63,False
We didn't argue at all today 💚,safe,58,False
He strangled me while I was screaming 🆘 💀,immediate_danger,59,False
Today was peaceful. my kids were home 💚,safe,52,False
I locked myself in the bathroom to avoid him. my kids were home 😥,at_risk,23,False
He strangled me while I was screaming 🆘 💀,immediate_danger,31,False
I locked myself in the bathroom to avoid him,at_risk,26,False
He came home drunk and punched the wall 💔,at_risk,20,False
"He yelled at me again, but didn’t hit me. I told the children to stay in their room 😟",at_risk,48,False
Everything felt calm for once 🌻,safe,36,False
I said he hit me but I just wanted him out,immediate_danger,48,True
I locked myself in the bathroom to avoid him. my kids were home 💔,at_risk,38,False
He threatened to kill me and the kids 😰,immediate_danger,48,False
He came home drunk and punched the wall. I told the children to stay in their room 😥,at_risk,64,False
He came home drunk and punched the wall,at_risk,30,False
I locked myself in the bathroom to avoid him,at_risk,61,False
He strangled me while I was screaming 🆘 💢,immediate_danger,32,False
We didn't argue at all today ✨,safe,23,False
He threatened to kill me and the kids,immediate_danger,41,False
Today was peaceful 🌻,safe,46,False
Everything felt calm for once 🌻,safe,47,False
I ran out barefoot after he pulled a knife 💀. my kids were home,immediate_danger,38,False
He threw my phone across the room 💔 😟,at_risk,51,False
He threatened to kill me and the kids,immediate_danger,51,False
He threw my phone across the room 💔. he never gets violent when the kids are around,at_risk,57,False
He threw my phone across the room 💔 😟,at_risk,64,False
He threatened to kill me and the kids. he never gets violent when the kids are around 😰,immediate_danger,31,False
Today was peaceful. he never gets violent when the kids are around,safe,33,False
Today was peaceful ✨,safe,41,False
"He yelled at me again, but didn’t hit me 😟",at_risk,61,False
He threw my phone across the room 💔 😥,at_risk,47,False
I even smiled today 🙂. I told the children to stay in their room,safe,42,False
I reported him because I wanted custody of our child,at_risk,22,True
I ran out barefoot after he pulled a knife 💀 💢,immediate_danger,49,False
He threatened to kill me and the kids,immediate_danger,64,False
I ran out barefoot after he pulled a knife 💀. I told the children to stay in their room,immediate_danger,31,False
He threw my phone across the room 💔. my kids were home 😥,at_risk,18,False
We didn't argue at all today,safe,65,False
He threw my phone across the room 💔. he never gets violent when the kids are around 😟,at_risk,29,False
Today was peaceful ✨,safe,60,False
He strangled me while I was screaming 🆘 💀,immediate_danger,25,False
Everything felt calm for once,safe,31,False
"He yelled at me again, but didn’t hit me. he never gets violent when the kids are around",at_risk,62,False
Today was peaceful. our daughter asked why we were yelling ✨,safe,60,False
I sent my sister a voice note before he smashed my phone 💀,immediate_danger,64,False
"He yelled at me again, but didn’t hit me. I told the children to stay in their room 😥",at_risk,30,False
"He yelled at me again, but didn’t hit me 💔",at_risk,24,False
He threw my phone across the room 💔 💔,at_risk,62,False
I locked myself in the bathroom to avoid him 😓,at_risk,60,False
I locked myself in the bathroom to avoid him,at_risk,49,False
Everything felt calm for once,safe,47,False
I locked myself in the bathroom to avoid him 😓,at_risk,38,False
He threw my phone across the room 💔 💔,at_risk,19,False
He strangled me while I was screaming 🆘 🆘,immediate_danger,26,False
He strangled me while I was screaming 🆘,immediate_danger,35,False
I told my mom I was scared even though we were okay. our daughter asked why we were yelling 😰,immediate_danger,49,True
He came home drunk and punched the wall 😟,at_risk,58,False
Everything felt calm for once,safe,37,False
"He yelled at me again, but didn’t hit me 😟",at_risk,43,False
Today was peaceful 💚,safe,21,False
I ran out barefoot after he pulled a knife 💀 😰,immediate_danger,36,False
Today was peaceful 🌻,safe,35,False
I sent my sister a voice note before he smashed my phone. I told the children to stay in their room,immediate_danger,35,False
I sent my sister a voice note before he smashed my phone 💀,immediate_danger,20,False
"He yelled at me again, but didn’t hit me 😓",at_risk,22,False
He strangled me while I was screaming 🆘 💢,immediate_danger,56,False
He came home drunk and punched the wall,at_risk,48,False
I sent my sister a voice note before he smashed my phone,immediate_danger,45,False
I reported him because I wanted custody of our child,immediate_danger,41,True
I sent my sister a voice note before he smashed my phone 🆘,immediate_danger,34,False
Today was peaceful,safe,52,False
I sent my sister a voice note before he smashed my phone,immediate_danger,28,False
I reported him because I wanted custody of our child. I told the children to stay in their room,immediate_danger,54,True
He threatened to kill me and the kids. I told the children to stay in their room 😰,immediate_danger,60,False
"He yelled at me again, but didn’t hit me",at_risk,48,False
"He yelled at me again, but didn’t hit me",at_risk,28,False
Everything felt calm for once 🌻,safe,50,False
He strangled me while I was screaming 🆘. my kids were home 💢,immediate_danger,36,False
He threatened to kill me and the kids 💀,immediate_danger,26,False
Today was peaceful,safe,36,False
He strangled me while I was screaming 🆘 💀,immediate_danger,28,False
"He yelled at me again, but didn’t hit me. he never gets violent when the kids are around",at_risk,57,False
He came home drunk and punched the wall. our daughter asked why we were yelling 😟,at_risk,44,False
He threatened to kill me and the kids 😰,immediate_danger,59,False
"He yelled at me again, but didn’t hit me",at_risk,26,False
He strangled me while I was screaming 🆘 💀,immediate_danger,29,False
I locked myself in the bathroom to avoid him. he never gets violent when the kids are around 💔,at_risk,62,False
I even smiled today 🙂. my kids were home 💚,safe,42,False
He strangled me while I was screaming 🆘 😰,immediate_danger,26,False
He threatened to kill me and the kids 😰,immediate_danger,26,False
"He yelled at me again, but didn’t hit me",at_risk,53,False
He threw my phone across the room 💔 😥,at_risk,40,False
I even smiled today 🙂 🙂,safe,43,False
He strangled me while I was screaming 🆘 😰,immediate_danger,53,False
He strangled me while I was screaming 🆘 🆘,immediate_danger,60,False
I even smiled today 🙂 💚,safe,26,False
I locked myself in the bathroom to avoid him 😟,at_risk,33,False
Everything felt calm for once 🌻,safe,33,False
I even smiled today 🙂. our daughter asked why we were yelling,safe,55,False
I even smiled today 🙂,safe,22,False
I ran out barefoot after he pulled a knife 💀 💢,immediate_danger,63,False
He strangled me while I was screaming 🆘 🆘,immediate_danger,63,False
I even smiled today 🙂. our daughter asked why we were yelling 🙂,safe,59,False
He came home drunk and punched the wall,at_risk,30,False
I even smiled today 🙂. my kids were home 🙂,safe,40,False
I told my mom I was scared even though we were okay. he never gets violent when the kids are around 😥,at_risk,53,True
He came home drunk and punched the wall,at_risk,50,False
Today was peaceful. I told the children to stay in their room 🙂,safe,54,False
He strangled me while I was screaming 🆘. I told the children to stay in their room 💀,immediate_danger,29,False
He came home drunk and punched the wall,at_risk,59,False
He threatened to kill me and the kids 🆘,immediate_danger,61,False
Today was peaceful. he never gets violent when the kids are around 🙂,safe,57,False
I locked myself in the bathroom to avoid him,at_risk,42,False
We didn't argue at all today. I told the children to stay in their room,safe,26,False
"He yelled at me again, but didn’t hit me. I told the children to stay in their room",at_risk,35,False
He came home drunk and punched the wall 😟,at_risk,29,False
I sent my sister a voice note before he smashed my phone 💢,immediate_danger,53,False
I locked myself in the bathroom to avoid him 😓,at_risk,49,False
Everything felt calm for once 💚,safe,35,False
I even smiled today 🙂. our daughter asked why we were yelling 🌻,safe,30,False
I sent my sister a voice note before he smashed my phone 💀,immediate_danger,47,False
He threw my phone across the room 💔 😓,at_risk,61,False
Everything felt calm for once ✨,safe,53,False
Today was peaceful. our daughter asked why we were yelling 🌻,safe,53,False
Today was peaceful 🌻,safe,40,False
He came home drunk and punched the wall,at_risk,46,False
He threw my phone across the room 💔 😥,at_risk,63,False
He came home drunk and punched the wall 😥,at_risk,32,False
Everything felt calm for once. our daughter asked why we were yelling 🌻,safe,49,False
Everything felt calm for once ✨,safe,55,False
I locked myself in the bathroom to avoid him. our daughter asked why we were yelling 💔,at_risk,30,False
He threatened to kill me and the kids 💢,immediate_danger,63,False
He came home drunk and punched the wall 😓,at_risk,21,False
We didn't argue at all today. my kids were home 🌻,safe,25,False
I sent my sister a voice note before he smashed my phone,immediate_danger,30,False
Today was peaceful. he never gets violent when the kids are around 💚,safe,25,False
I ran out barefoot after he pulled a knife 💀,immediate_danger,31,False
He threw my phone across the room 💔 😟,at_risk,49,False
He came home drunk and punched the wall. I told the children to stay in their room 😟,at_risk,29,False
I ran out barefoot after he pulled a knife 💀. our daughter asked why we were yelling 💀,immediate_danger,25,False
I ran out barefoot after he pulled a knife 💀 🆘,immediate_danger,29,False
Everything felt calm for once,safe,59,False
He threw my phone across the room 💔 💔,at_risk,38,False
We didn't argue at all today. he never gets violent when the kids are around ✨,safe,28,False
"He yelled at me again, but didn’t hit me 💔",at_risk,19,False
I said he hit me but I just wanted him out. he never gets violent when the kids are around 😟,at_risk,46,True
He strangled me while I was screaming 🆘 💀,immediate_danger,25,False
I ran out barefoot after he pulled a knife 💀 😰,immediate_danger,37,False
I ran out barefoot after he pulled a knife 💀,immediate_danger,29,False
We didn't argue at all today,safe,32,False
Today was peaceful,safe,58,False
I locked myself in the bathroom to avoid him. my kids were home,at_risk,46,False
Today was peaceful,safe,57,False
Everything felt calm for once. our daughter asked why we were yelling 🌻,safe,25,False
"He yelled at me again, but didn’t hit me",at_risk,43,False
Today was peaceful. our daughter asked why we were yelling 💚,safe,45,False
I locked myself in the bathroom to avoid him,at_risk,41,False
I locked myself in the bathroom to avoid him 😓,at_risk,40,False
I ran out barefoot after he pulled a knife 💀 💢,immediate_danger,34,False
I told my mom I was scared even though we were okay 💔,at_risk,65,True
I sent my sister a voice note before he smashed my phone. I told the children to stay in their room 💢,immediate_danger,27,False
I even smiled today 🙂 🙂,safe,23,False
He strangled me while I was screaming 🆘. he never gets violent when the kids are around 😰,immediate_danger,49,False
Everything felt calm for once,safe,53,False
Today was peaceful. our daughter asked why we were yelling,safe,41,False
He came home drunk and punched the wall. my kids were home,at_risk,33,False
Today was peaceful. I told the children to stay in their room,safe,64,False
I locked myself in the bathroom to avoid him. my kids were home 💔,at_risk,25,False
We didn't argue at all today. he never gets violent when the kids are around 🙂,safe,63,False
I locked myself in the bathroom to avoid him. I told the children to stay in their room,at_risk,29,False
He threw my phone across the room 💔 💔,at_risk,38,False
He strangled me while I was screaming 🆘,immediate_danger,57,False
We didn't argue at all today ✨,safe,59,False
I reported him because I wanted custody of our child. I told the children to stay in their room 😥,at_risk,42,True
I ran out barefoot after he pulled a knife 💀,immediate_danger,56,False
He came home drunk and punched the wall. he never gets violent when the kids are around 😟,at_risk,21,False
"He yelled at me again, but didn’t hit me",at_risk,30,False
Everything felt calm for once 🌻,safe,53,False
I ran out barefoot after he pulled a knife 💀 💢,immediate_danger,19,False
He strangled me while I was screaming 🆘 💀,immediate_danger,25,False
"He yelled at me again, but didn’t hit me 😓",at_risk,65,False
Today was peaceful ✨,safe,46,False
He threw my phone across the room 💔 😥,at_risk,21,False
I sent my sister a voice note before he smashed my phone 💢,immediate_danger,18,False
